order_id,cancelled
130231,1
130232,0
130233,0
130234,0
130235,0
130237,0
130236,0
130238,0
130239,0
130240,1
130241,0
130242,0
130243,0
130244,1
130245,1
130246,0
130247,0
130248,0
130249,0
130250,0
130251,1
130252,0
130253,0
130254,1
130255,0
130256,1
130257,0
130258,0
130260,1
130259,0
130261,1
130262,0
130263,0
130264,0
130265,0
130266,0
130267,1
130268,1
130269,0
130270,1
130271,0
130272,1
130273,0
130274,0
130275,0
130276,0
130277,0
130278,0
130279,0
130280,0
130281,1
130282,0
130283,0
130284,1
130285,0
130286,1
130287,0
130288,0
130289,0
130290,0
130291,0
130292,0
130293,1
130294,1
130295,0
130296,1
130297,1
130298,0
130299,0
130300,0
130301,0
130302,0
130303,0
130304,1
130305,1
130306,0
130307,0
130308,0
130309,1
130310,1
130311,1
130312,0
130313,0
130314,0
130315,0
130316,1
130317,0
130318,0
130319,0
130320,1
130321,0
130322,0
130323,1
130324,0
130325,0
130326,0
130327,0
130328,0
130329,0
130330,0
130331,1
130332,1
130333,0
130334,0
130335,0
130336,1
130337,0
130338,0
130339,0
130340,0
130341,1
130342,0
130343,0
130344,0
130345,0
130346,0
130347,0
130348,0
130349,1
130350,0
130351,0
130352,1
130353,0
130354,1
130355,0
130356,0
130357,0
130358,1
130359,1
130360,0
130361,0
130362,0
130363,1
130367,0
130366,1
130364,0
130365,0
130368,1
130369,0
130370,0
130371,1
130372,0
130373,0
130374,0
130375,0
130376,0
130377,0
130378,0
130379,0
130380,0
130381,0
130382,1
130383,0
130384,0
130385,1
130386,0
130387,0
130388,1
130389,1
130390,0
130391,0
130392,0
130393,0
130394,0
130395,0
130397,0
130396,0
130398,1
130399,0
130400,0
130401,0
130402,0
130403,0
130404,0
130405,0
130406,1
130407,0
130408,0
130409,0
130410,1
130411,1
130412,1
130413,0
130414,0
130415,1
130416,1
130417,0
130418,0
130419,1
130420,0
130421,0
130422,0
130423,0
130424,0
130425,0
130426,0
130427,0
130428,0
130429,0
130430,0
130431,0
130432,0
130433,0
130434,1
130435,1
130436,0
130437,1
130438,0
130439,0
130440,1
130441,0
130442,1
130443,0
130444,0
130445,0
130446,1
130447,0
130448,1
130449,0
130451,0
130450,0
130452,0
130453,0
130454,0
130455,0
130456,1
130457,0
130458,1
130459,0
130460,0
130461,1
130462,0
130463,0
130464,0
130465,0
130466,1
130467,1
130468,1
130469,0
130470,0
130472,1
130471,1
130473,0
130474,0
130475,1
130476,0
130477,0
130478,1
130479,0
130480,1
130482,0
130481,0
130483,0
130484,0
130485,1
130486,0
