order_id,cancelled
130231,1
130232,1
130233,0
130234,1
130235,0
130237,1
130236,0
130238,1
130239,1
130240,1
130241,1
130242,1
130243,1
130244,0
130245,1
130246,1
130247,0
130248,1
130249,1
130250,1
130251,1
130252,0
130253,1
130254,0
130255,0
130256,0
130257,1
130258,1
130260,0
130259,0
130261,1
130262,1
130263,0
130264,0
130265,0
130266,0
130267,0
130268,1
130269,1
130270,1
130271,0
130272,0
130273,0
130274,1
130275,1
130276,1
130277,1
130278,0
130279,0
130280,0
130281,0
130282,1
130283,0
130284,0
130285,0
130286,0
130287,0
130288,1
130289,1
130290,1
130291,0
130292,0
130293,0
130294,1
130295,0
130296,0
130297,0
130298,1
130299,1
130300,1
130301,0
130302,1
130303,1
130304,1
130305,1
130306,0
130307,1
130308,0
130309,1
130310,0
130311,0
130312,1
130313,1
130314,0
130315,1
130316,1
130317,1
130318,0
130319,0
130320,1
130321,1
130322,0
130323,0
130324,1
130325,1
130326,0
130327,1
130328,0
130329,1
130330,0
130331,0
130332,0
130333,1
130334,0
130335,0
130336,0
130337,1
130338,1
130339,1
130340,1
130341,0
130342,0
130343,0
130344,0
130345,1
130346,1
130347,1
130348,0
130349,1
130350,0
130351,1
130352,1
130353,0
130354,0
130355,0
130356,0
130357,0
130358,0
130359,0
130360,1
130361,1
130362,0
130363,1
130367,0
130366,0
130364,0
130365,1
130368,1
130369,1
130370,0
130371,1
130372,0
130373,0
130374,1
130375,0
130376,0
130377,0
130378,0
130379,1
130380,1
130381,1
130382,1
130383,1
130384,1
130385,1
130386,0
130387,0
130388,0
130389,0
130390,0
130391,1
130392,1
130393,0
130394,1
130395,1
130397,0
130396,1
130398,1
130399,0
130400,0
130401,0
130402,1
130403,1
130404,0
130405,1
130406,1
130407,1
130408,1
130409,0
130410,1
130411,1
130412,1
130413,0
130414,0
130415,0
130416,0
130417,1
130418,0
130419,1
130420,0
130421,0
130422,0
130423,1
130424,1
130425,1
130426,1
130427,0
130428,0
130429,1
130430,1
130431,1
130432,1
130433,0
130434,0
130435,1
130436,1
130437,0
130438,0
130439,0
130440,0
130441,1
